Team,YearStart,Size,Special,SpecialAlt,RunningTopTierYears,TotalTopTierYears,Division,Leading Scorer,Special,SpecialAlt,D,L,Position Cleaned,PositionAdjusted,TopTier?,W
Arsenal,2016,,,,91,100,Prem,Alexis Sánchez,,,6,9,5,5,1,23
Arsenal,2017,,,,92,101,Prem,Alexandre Lacazette,,,6,13,6,6,1,19
Arsenal,2018,,,,93,102,Prem,Pierre-Emerick Aubameyang,,,7,10,5,5,1,21
Arsenal,2019,,,,94,103,Prem,Pierre-Emerick Aubameyang,,,14,10,8,8,1,14
Aston Villa,1892,,,,2,2,Div 1,John Devey,,,3,11,4,4,1,16
Aston Villa,1893,,,,3,3,Div 1,John Devey,,Champions,6,5,1,1,1,19
Aston Villa,1894,,,,4,4,Div 1,John Devey,,,5,8,3,3,1,17
Aston Villa,1895,,,,5,5,Div 1,John Campbell,,Champions,5,5,1,1,1,20
Aston Villa,1896,,,,6,6,Div 1,Fred Wheldon,,Champions,5,4,1,1,1,21
Aston Villa,1897,,,,7,7,Div 1,Fred Wheldon,,,5,11,6,6,1,14
Aston Villa,1898,,,,8,8,Div 1,John Devey,,Champions,7,8,1,1,1,19
Aston Villa,1899,,,,9,9,Div 1,Billy Garraty,,Champions,6,6,1,1,1,22
Aston Villa,1900,,,,10,10,Div 1,John Devey,,,10,14,15,15,1,10
Aston Villa,1901,,,,11,11,Div 1,Jasper McLuckie,,,8,13,8,8,1,13
Aston Villa,1902,,,,12,12,Div 1,Jasper McLuckie,,,3,12,2,2,1,19
Aston Villa,1903,,,,13,13,Div 1,Joe Bache,,,7,10,5,5,1,17
Aston Villa,1904,,,,14,14,Div 1,Harry Hampton,,,4,11,4,4,1,19
Aston Villa,1905,,,,15,15,Div 1,Billy Garraty,,,6,15,8,8,1,17
Aston Villa,1906,,,,16,16,Div 1,Harry Hampton,,,6,13,5,5,1,19
Aston Villa,1907,,,,17,17,Div 1,Joe Bache,,,9,12,2,2,1,17
Aston Villa,1908,,,,18,18,Div 1,Joe Bache,,,10,14,7,7,1,14
Aston Villa,1909,,,,19,19,Div 1,Harry Hampton,,Champions,7,8,1,1,1,23
Aston Villa,1910,,,,20,20,Div 1,Harry Hampton,,,7,9,2,2,1,22
Aston Villa,1911,,,,21,21,Div 1,Harry Hampton,,,7,14,6,6,1,17
Aston Villa,1912,,,,22,22,Div 1,Harry Hampton,,,12,7,2,2,1,19
Aston Villa,1913,,,,23,23,Div 1,Harry Hampton,,,6,13,2,2,1,19
Aston Villa,1914,,,,24,24,Div 1,Harry Hampton,,,11,14,14,14,1,13
Aston Villa,1919,,,,25,25,Div 1,Clem Stephenson,,,6,18,9,9,1,18
Aston Villa,1920,,,,26,26,Div 1,Billy Walker,,,7,17,10,10,1,18
Aston Villa,1921,,,,27,27,Div 1,Ian Dickson,,,3,17,5,5,1,22
Aston Villa,1922,,,,28,28,Div 1,Billy Walker,,,10,14,6,6,1,18
Aston Villa,1923,,,,29,29,Div 1,Len Capewell,,,13,11,6,6,1,18
Aston Villa,1924,,,,30,30,Div 1,Billy Walker,,,13,16,15,15,1,13
Aston Villa,1925,,,,31,31,Div 1,Len Capewell,,,12,14,6,6,1,16
Aston Villa,1926,,,,32,32,Div 1,Len Capewell,,,7,17,10,10,1,18
Aston Villa,1927,,,,33,33,Div 1,George Cook,,,9,16,8,8,1,17
Aston Villa,1928,,,,34,34,Div 1,Pongo Waring,,,4,15,3,3,1,23
Aston Villa,1929,,,,35,35,Div 1,George Brown,,,5,16,4,4,1,21
Aston Villa,1930,,,,36,36,Div 1,Pongo Waring,,,9,8,2,2,1,25
Aston Villa,1931,,,,37,37,Div 1,Pongo Waring,,,8,15,5,5,1,19
Aston Villa,1932,,,,38,38,Div 1,George Brown,,,8,11,2,2,1,23
Aston Villa,1933,,,,39,39,Div 1,Dai Astley,,,12,16,13,13,1,14
Aston Villa,1934,,,,40,40,Div 1,Dai Astley,,,13,15,13,13,1,14
Aston Villa,1935,,,,41,41,Div 1,Dai Astley,Relegated,Relegated,9,20,21,21,1,13
Aston Villa,1936,,,,0,41,Div 2,Frank Broome,,,12,14,9,31,0,16
Aston Villa,1937,,,,0,41,Div 2,Frank Broome,Promoted,Promoted,7,10,1,23,0,25
Aston Villa,1938,,,,1,42,Div 1,Frank Broome,,,9,17,12,12,1,16
Aston Villa,1946,,,,2,43,Div 1,Dicky Dorsett,,,9,15,8,8,1,18
Aston Villa,1947,,,,3,44,Div 1,Trevor Ford,,,9,14,6,6,1,19
Aston Villa,1948,,,,4,45,Div 1,Trevor Ford,,,10,16,10,10,1,16
Aston Villa,1949,,,,5,46,Div 1,Trevor Ford,,,12,15,12,12,1,15
Aston Villa,1950,,,,6,47,Div 1,Johnny Dixon,,,13,17,15,15,1,12
Aston Villa,1951,,,,7,48,Div 1,Johnny Dixon,,,9,14,6,6,1,19
Aston Villa,1952,,,,8,49,Div 1,Johnny Dixon,,,13,15,11,11,1,14
Aston Villa,1953,,,,9,50,Div 1,Tommy Thompson,,,9,17,13,13,1,16
Aston Villa,1954,,,,10,51,Div 1,Tommy Thompson,,,7,15,6,6,1,20
Aston Villa,1955,,,,11,52,Div 1,Johnny Dixon,,,13,18,20,20,1,11
Aston Villa,1956,,,,12,53,Div 1,Peter McParland,,,15,13,10,10,1,14
Aston Villa,1957,,,,13,54,Div 1,Peter McParland,,,7,19,14,14,1,16
Aston Villa,1958,,,,14,55,Div 1,Gerry Hitchens,Relegated,Relegated,8,23,21,21,1,11
Aston Villa,1959,,,,0,55,Div 2,Gerry Hitchens,Promoted,Promoted,9,8,1,23,0,25
Aston Villa,1960,,,,1,56,Div 1,Gerry Hitchens,,,9,16,9,9,1,17
Aston Villa,1961,,,,2,57,Div 1,Harry Burrows,,,8,16,7,7,1,18
Aston Villa,1962,,,,3,58,Div 1,Harry Burrows,,,8,19,15,15,1,15
Aston Villa,1963,,,,4,59,Div 1,Tony Hateley,,,12,19,19,19,1,11
Aston Villa,1964,,,,5,60,Div 1,Tony Hateley,,,5,21,16,16,1,16
Aston Villa,1965,,,,6,61,Div 1,Tony Hateley,,,6,21,16,16,1,15
Aston Villa,1966,,,,7,62,Div 1,Lew Chatterley,Relegated,Relegated,7,24,21,21,1,11
Aston Villa,1967,,,,0,62,Div 2,Brian Godfrey,,,7,20,16,38,0,15
Aston Villa,1968,,,,0,62,Div 2,Brian Godfrey,,,14,16,18,40,0,12
Aston Villa,1969,,,,0,62,Div 2,Bruce Rioch,Relegated,Relegated,13,21,21,43,0,8
Aston Villa,1970,,,,0,62,Div 3,Andy Lochhead,,,15,12,4,48,0,19
Aston Villa,1971,,,,0,62,Div 3,Andy Lochhead,Promoted,Promoted,6,8,1,45,0,32
Aston Villa,1972,,,,0,62,Div 2,Alun Evans,,,14,10,3,25,0,18
Aston Villa,1973,,,,0,62,Div 2,Sammy Morgan,,,15,14,14,36,0,13
Aston Villa,1974,,,,0,62,Div 2,Ray Graydon,Promoted,Promoted,8,9,2,24,0,25
Aston Villa,1975,,,,1,63,Div 1,Ray Graydon,,,17,14,16,16,1,11
Aston Villa,1976,,,,2,64,Div 1,Andy Gray,,,7,13,4,4,1,22
Aston Villa,1977,,,,3,65,Div 1,Andy Gray,,,10,14,8,8,1,18
Aston Villa,1978,,,,4,66,Div 1,John Deehan,,,16,11,8,8,1,15
Aston Villa,1979,,,,5,67,Div 1,Gary Shaw,,,14,12,7,7,1,16
Aston Villa,1980,,,,6,68,Div 1,Peter Withe,,Champions,8,8,1,1,1,26
Aston Villa,1981,,,,7,69,Div 1,Peter Withe,,,12,15,11,11,1,15
Aston Villa,1982,,,,8,70,Div 1,Gary Shaw,,,5,16,6,6,1,21
Aston Villa,1983,,,,9,71,Div 1,Peter Withe,,,9,16,10,10,1,17
Aston Villa,1984,,,,10,72,Div 1,Paul Rideout,,,11,16,10,10,1,15
Aston Villa,1985,,,,11,73,Div 1,Simon Stainrod,,,14,18,16,16,1,10
Aston Villa,1986,,,,12,74,Div 1,Allan Evans,Relegated,Relegated,12,22,22,22,1,8
Aston Villa,1987,,,,0,74,Div 2,Warren Aspinall,Promoted,Promoted,12,10,2,23,0,22
Aston Villa,1988,,,,1,75,Div 1,Alan McInally,,,13,16,17,17,1,9
Aston Villa,1989,,,,2,76,Div 1,David Platt,,,7,10,2,2,1,21
Aston Villa,1990,,,,3,77,Div 1,David Platt,,,14,15,17,17,1,9
Aston Villa,1991,,,,4,78,Div 1,Dwight Yorke,,,9,16,7,7,1,17
Aston Villa,1992,,,,5,79,Prem,Dean Saunders,,,11,10,2,2,1,21
Aston Villa,1993,,,,6,80,Prem,Dean Saunders,,,12,15,10,10,1,15
Aston Villa,1994,,,,7,81,Prem,Dean Saunders,,,15,16,18,18,1,11
Aston Villa,1995,,,,8,82,Prem,Dwight Yorke,,,9,11,4,4,1,18
Aston Villa,1996,,,,9,83,Prem,Dwight Yorke,,,10,11,5,5,1,17
Aston Villa,1997,,,,10,84,Prem,Dwight Yorke,,,6,15,7,7,1,17
Aston Villa,1998,,,,11,85,Prem,Julian Joachim,,,10,13,6,6,1,15
Aston Villa,1999,,,,12,86,Prem,Dion Dublin,,,13,10,6,6,1,15
Aston Villa,2000,,,,13,87,Prem,Dion Dublin,,,15,10,8,8,1,13
Aston Villa,2001,,,,14,88,Prem,Juan Pablo Ángel,,,14,12,8,8,1,12
Aston Villa,2002,,,,15,89,Prem,Dion Dublin,,,9,17,16,16,1,12
Aston Villa,2003,,,,16,90,Prem,Juan Pablo Ángel,,,11,12,6,6,1,15
Aston Villa,2004,,,,17,91,Prem,Juan Pablo Ángel,,,11,15,10,10,1,12
Aston Villa,2005,,,,18,92,Prem,Milan Baroš,,,12,16,16,16,1,10
Aston Villa,2006,,,,19,93,Prem,Gabriel Agbonlahor,,,17,10,11,11,1,11
Aston Villa,2007,,,,20,94,Prem,John Carew,,,12,10,6,6,1,16
Aston Villa,2008,,,,21,95,Prem,John Carew,,,11,10,6,6,1,17
Aston Villa,2009,,,,22,96,Prem,John Carew,,,13,8,6,6,1,17
Aston Villa,2010,,,,23,97,Prem,Darren Bent/Ashley Young,,,12,14,9,9,1,12
Aston Villa,2011,,,,24,98,Prem,Darren Bent,,,17,14,16,16,1,7
Aston Villa,2012,,,,25,99,Prem,Christian Benteke,,,11,17,15,15,1,10
Aston Villa,2013,,,,26,100,Prem,Christian Benteke,,,8,20,15,15,1,10
Aston Villa,2014,,,,27,101,Prem,Christian Benteke,,,8,20,17,17,1,10
Aston Villa,2015,,,,28,102,Prem,Jordan Ayew,Relegated,Relegated,8,27,20,20,1,3
Aston Villa,2016,,,,0,102,Champ,Jonathan Kodjia,,,14,16,13,33,0,16
Aston Villa,2017,,,,0,102,Champ,Albert Adomah,,,11,11,4,24,0,24
Aston Villa,2018,,,,0,102,Champ,Tammy Abraham,Promoted,Promoted,16,10,5,25,0,20
Aston Villa,2019,,,,1,103,Prem,Jack Grealish,,,8,21,17,17,1,9
Brighton & Hove Albion,1920,,,,0,0,Div 3,Jack Doran,,,8,20,18,62,0,14
Brighton & Hove Albion,1921,,,,0,0,Div 3,Jack Doran,,,9,20,19,63,0,13
Brighton & Hove Albion,1922,,,,0,0,Div 3,Eddie Fuller,,,11,11,4,48,0,20
Brighton & Hove Albion,1923,,,,0,0,Div 3,Tommy Cook,,,9,12,5,49,0,21
Brighton & Hove Albion,1924,,,,0,0,Div 3,Tommy Cook,,,8,15,8,52,0,19
Brighton & Hove Albion,1925,,,,0,0,Div 3,Sam Jennings,,,9,14,5,49,0,19
Brighton & Hove Albion,1926,,,,0,0,Div 3,Sam Jennings,,,11,10,4,48,0,21
Brighton & Hove Albion,1927,,,,0,0,Div 3,Tommy Cook,,,10,13,4,48,0,19
Brighton & Hove Albion,1928,,,,0,0,Div 3,Dan Kirkwood,,,6,20,15,59,0,16
Brighton & Hove Albion,1929,,,,0,0,Div 3,Hugh Vallance,,,8,13,5,49,0,21
Brighton & Hove Albion,1930,,,,0,0,Div 3,Geordie Nicol,,,15,10,4,48,0,17
Brighton & Hove Albion,1931,,,,0,0,Div 3,Arthur Attwood,,,12,13,8,52,0,17
Brighton & Hove Albion,1932,,,,0,0,Div 3,Arthur Attwood,,,8,17,12,56,0,17
Brighton & Hove Albion,1933,,,,0,0,Div 3,Buster Brown,,,13,14,10,54,0,15
Brighton & Hove Albion,1934,,,,0,0,Div 3,Buster Brown,,,9,16,9,53,0,17
Brighton & Hove Albion,1935,,,,0,0,Div 3,Alec Law,,,8,16,7,51,0,18
Brighton & Hove Albion,1936,,,,0,0,Div 3,Bert Stephens,,,5,13,3,47,0,24
Brighton & Hove Albion,1937,,,,0,0,Div 3,Jock Davie,,,9,12,5,49,0,21
Brighton & Hove Albion,1938,,,,0,0,Div 3,Bert Stephens,,,11,12,3,47,0,19
Brighton & Hove Albion,1946,,,,0,0,Div 3,George Chapman,,,12,17,17,61,0,13
Brighton & Hove Albion,1947,,,,0,0,Div 3,Tony James,,,12,19,22,66,0,11
Brighton & Hove Albion,1948,,,,0,0,Div 3,Des Tennant,,,18,9,6,50,0,15
Brighton & Hove Albion,1949,,,,0,0,Div 3,Johnny McNichol,,,12,14,8,52,0,16
Brighton & Hove Albion,1950,,,,0,0,Div 3,Johnny McNichol,,,17,16,13,57,0,13
Brighton & Hove Albion,1951,,,,0,0,Div 3,Ken Bennett/Billy Reed,,,10,12,5,49,0,24
Brighton & Hove Albion,1952,,,,0,0,Div 3,Ken Bennett,,,12,15,7,51,0,19
Brighton & Hove Albion,1953,,,,0,0,Div 3,Bert Addinall,,,9,11,2,46,0,26
Brighton & Hove Albion,1954,,,,0,0,Div 3,Albert Mundy,,,10,16,6,50,0,20
Brighton & Hove Albion,1955,,,,0,0,Div 3,Albert Mundy,,,7,10,2,46,0,29
Brighton & Hove Albion,1956,,,,0,0,Div 3,Albert Mundy,,,14,13,6,50,0,19
Brighton & Hove Albion,1957,,,,0,0,Div 3,Peter Harburn/Dave Sexton,Promoted,Promoted,12,10,1,45,0,24
Brighton & Hove Albion,1958,,,,0,0,Div 2,John Shepherd,,,11,16,12,34,0,15
Brighton & Hove Albion,1959,,,,0,0,Div 2,Bill Curry,,,12,17,14,36,0,13
Brighton & Hove Albion,1960,,,,0,0,Div 2,Adrian Thorne,,,9,19,16,38,0,14
Brighton & Hove Albion,1961,,,,0,0,Div 2,Johnny Goodchild/Bobby Laverick/Tony Nicholas,Relegated,Relegated,11,21,22,44,0,10
Brighton & Hove Albion,1962,,,,0,0,Div 3,Peter Donnelly,Relegated,Relegated,12,22,22,66,0,12
Brighton & Hove Albion,1963,,,,0,0,Div 4,Johnny Goodchild,,,12,15,8,76,0,19
Brighton & Hove Albion,1964,,,,0,0,Div 4,Wally Gould,Promoted,Promoted,11,9,1,69,0,26
Brighton & Hove Albion,1965,,,,0,0,Div 3,Charlie Livesey,,,11,19,15,59,0,16
Brighton & Hove Albion,1966,,,,0,0,Div 3,Kit Napier/Eric Whitington,,,15,18,19,63,0,13
Brighton & Hove Albion,1967,,,,0,0,Div 3,Kit Napier,,,16,14,10,54,0,16
Brighton & Hove Albion,1968,,,,0,0,Div 3,Kit Napier,,,13,17,12,56,0,16
Brighton & Hove Albion,1969,,,,0,0,Div 3,Allan Gilliver,,,9,14,5,49,0,23
Brighton & Hove Albion,1970,,,,0,0,Div 3,Kit Napier,,,16,16,14,58,0,14
Brighton & Hove Albion,1971,,,,0,0,Div 3,Kit Napier,Promoted,Promoted,11,8,2,46,0,27
Brighton & Hove Albion,1972,,,,0,0,Div 2,Ken Beamish,Relegated,Relegated,13,21,22,44,0,8
Brighton & Hove Albion,1973,,,,0,0,Div 3,Ken Beamish,,,11,19,19,63,0,16
Brighton & Hove Albion,1974,,,,0,0,Div 3,Fred Binney,,,10,20,19,63,0,16
Brighton & Hove Albion,1975,,,,0,0,Div 3,Fred Binney,,,9,15,4,48,0,22
Brighton & Hove Albion,1976,,,,0,0,Div 3,Peter Ward[t],Promoted,Promoted,11,10,2,46,0,25
Brighton & Hove Albion,1977,,,,0,0,Div 2,Peter Ward,,,12,8,4,26,0,22
Brighton & Hove Albion,1978,,,,0,0,Div 2,Peter Ward,Promoted,Promoted,10,9,2,24,0,23
Brighton & Hove Albion,1979,,,,1,1,Div 1,Peter Ward,,,15,16,16,16,1,11
Brighton & Hove Albion,1980,,,,2,2,Div 1,Michael Robinson,,,7,21,19,19,1,14
Brighton & Hove Albion,1981,,,,3,3,Div 1,Andy Ritchie,,,13,16,13,13,1,13
Brighton & Hove Albion,1982,,,,4,4,Div 1,Michael Robinson,Relegated,Relegated,13,20,22,22,1,9
Brighton & Hove Albion,1983,,,,0,4,Div 2,Terry Connor,,,9,16,9,31,0,17
Brighton & Hove Albion,1984,,,,0,4,Div 2,Terry Connor,,,12,10,6,28,0,20
Brighton & Hove Albion,1985,,,,0,4,Div 2,Dean Saunders,,,9,17,10,32,0,16
Brighton & Hove Albion,1986,,,,0,4,Div 2,Terry Connor,Relegated,Relegated,12,21,22,44,0,9
Brighton & Hove Albion,1987,,,,0,4,Div 3,Garry Nelson,Promoted,Promoted,15,8,2,46,0,23
Brighton & Hove Albion,1988,,,,0,4,Div 2,Garry Nelson,,,9,23,19,39,0,14
Brighton & Hove Albion,1989,,,,0,4,Div 2,Kevin Bremner,,,9,22,18,38,0,15
Brighton & Hove Albion,1990,,,,0,4,Div 2,Mike Small,,,7,18,6,26,0,21
Brighton & Hove Albion,1991,,,,0,4,Div 2,Mark Gall,Relegated,Relegated,11,23,23,45,0,12
Brighton & Hove Albion,1992,,,,0,4,Div 2,Kurt Nogan,,,9,17,9,53,0,20
Brighton & Hove Albion,1993,,,,0,4,Div 2,Kurt Nogan,,,14,17,14,58,0,15
