,Rank,player,club,age,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS,AerialsWon,MotM,Rating,nationality
972,213,Grzegorz Krychowiak,West Bromwich Albion,28,20(7),1643,0,2,2,0,0.6,78.4,1,0,6.62,Poland
974,214,Andre Carrillo,Watford,26,16(12),1537,1,2,2,0,0.9,76.6,0.5,1,6.62,Peru
976,220,Kasper Schmeichel,Leicester,31,33,2966,0,0,3,0,-,49.6,0.4,3,6.61,Denmark
978,230,Shinji Okazaki,Leicester,32,17(10),1330,6,2,2,0,1,73.3,1.1,1,6.58,Japan
980,233,Cedric Soares,Southampton,26,32,2797,0,3,3,0,0.7,73.3,1,0,6.57,Portugal
982,238,Jonas Lossl,Huddersfield,29,38,3420,0,1,1,0,-,56.4,0.4,1,6.57,Denmark
984,261,Simon Mignolet,Liverpool,30,19,1710,0,0,3,0,-,69.5,0.2,0,6.49,Belgium
986,263,Kelechi Iheanacho,Leicester,21,7(14),827,3,3,2,0,1.4,79.3,0.3,0,6.48,Nigeria
988,267,Ramadan Sobhi,Stoke,21,12(12),1234,2,0,2,0,0.5,77.0,0.5,0,6.46,Egypt
990,281,Martin Olsson,Swansea,30,36,3154,0,1,7,0,0.5,73.5,1.3,0,6.32,Sweden
993,6,Ricardo Pereira,FC Porto,24,26(1),2271,2,4,3,0,0.7,80.3,1,3,7.59,Portugal
994,145,Ricardo Pereira,FC Porto,24,6(1),552,0,2,1,0,0.3,76.9,0.6,0,6.96,Portugal
996,8,Hector Herrera,FC Porto,28,26(3),2335,3,4,7,0,1.3,84.7,2.2,1,7.5,Mexico
997,90,Hector Herrera,FC Porto,28,6,531,1,1,1,0,1.2,82.9,1.8,0,7.09,Mexico
999,27,Andrija Zivkovic,Benfica,21,17(4),1543,3,4,4,1,1.4,82.2,0.2,3,7.22,Serbia
1001,261,Andrija Zivkovic,Benfica,21,3(2),292,0,1,1,0,1.4,82.9,0.2,1,6.67,Serbia
1003,57,Ruben Dias,Benfica,21,24,2151,3,0,4,0,0.4,85.2,1.9,0,6.95,Portugal
1005,109,Oghenekaro Etebo,Feirense,22,18,1620,4,1,5,0,2,77.0,0.7,0,6.78,Nigeria
1007,177,Raul Jimenez,Benfica,27,6(27),970,6,6,3,0,1.5,68.7,1.5,1,6.59,Mexico
1009,357,Raul Jimenez,Benfica,27,3(2),308,0,0,0,0,1.8,67.3,2.8,0,6.44,Mexico
1011,187,Haris Seferovic,Benfica,26,9(11),832,4,2,1,0,1.5,72.5,0.5,0,6.54,Switzerland
1013,405,Haris Seferovic,Benfica,26,2(2),219,1,0,1,0,2,74.0,1,0,6.31,Switzerland
1015,2,Trezeguet,Kasimpasa,23,31,2652,13,6,4,1,2.1,76.7,0.6,8,7.53,Egypt
1016,7,Younes Belhanda,Galatasaray,28,28(2),2445,3,8,4,2,1.3,80.2,0.6,2,7.39,Morocco
1017,30,Nabil Dirar,Fenerbahce,32,27(2),2278,4,8,4,0,1,79.1,1.3,1,7.13,Morocco
1019,49,Khalid Boutaib,Yeni Malatyaspor,31,31(1),2713,12,3,7,0,1.9,67.4,4.3,4,7.05,Morocco
1021,53,Kenneth Omeruo,Kasimpasa,24,26(2),2407,1,0,4,0,0.5,81.2,2.2,0,7.02,Nigeria
1023,71,Dusko Tosic,Besiktas,33,25,2174,5,1,7,3,0.5,83.0,2.5,2,6.94,Serbia
1025,135,Dusko Tosic,Besiktas,33,6(1),508,0,0,2,0,0.3,71.4,1.6,0,6.99,Serbia
1027,80,Beto,Goztepe,36,30,2656,0,0,5,0,-,66.1,0.3,3,6.91,Portugal
1029,94,Lamine Gassama,Alanyaspor,28,31,2675,0,0,8,0,0.1,77.9,1,1,6.86,Senegal
1031,132,Aziz Behich,Bursaspor,27,31,2788,5,2,7,0,0.6,77.2,0.3,1,6.77,Australia
1033,133,Johan Djourou,Antalyaspor,31,17(1),1515,1,0,3,0,0.2,88.7,1.9,0,6.77,Switzerland
1035,138,Syam Ben Youssef,Kasimpasa,29,24(2),2146,1,0,7,0,0.3,84.6,2,1,6.75,Tunisia
1037,155,Ogenyi Onazi,Trabzonspor,25,17(4),1305,2,1,5,0,0.5,82.3,0.6,0,6.7,Nigeria
1039,164,Fernando Muslera,Galatasaray,31,33,2970,0,0,6,0,-,68.0,0.6,1,6.67,Uruguay
1041,165,William Troost-Ekong,Bursaspor,24,26(1),2286,2,0,0,1,0.7,81.5,2.1,0,6.67,Nigeria
1043,249,Olafur Ingi Skulason,Karabukspor,35,12(4),1128,1,0,4,0,0.3,83.5,1.1,0,6.28,Iceland
1045,11,John Stones,Manchester City,24,5,450,3,0,0,0,0.8,95.5,2,1,7.87,England
1047,32,Mario Mandzukic,Juventus,32,5(1),457,4,0,2,0,2.5,67.1,2.8,2,7.37,Croatia
1049,57,Mario Mandzukic,Juventus,32,27(5),2327,5,3,3,1,1.6,75.8,2.5,1,7.01,Croatia
1051,40,Aleksandar Kolarov,Roma,32,12,1080,1,3,1,0,1.3,80.3,1.5,0,7.32,Serbia
1053,4,Aleksandar Kolarov,Roma,32,34(1),3061,2,8,3,0,1.8,81.2,1.5,6,7.52,Serbia
1054,55,Fred,Shakhtar Donetsk,25,8,720,1,1,2,0,1.6,85.9,0.1,2,7.25,Brazil
1056,56,Gonzalo Higuain,Juventus,30,9(1),831,5,1,1,0,2.4,78.5,0.5,2,7.24,Argentina
1058,19,Gonzalo Higuain,Juventus,30,32(3),2818,16,6,4,0,2.9,80.4,0.3,5,7.25,Argentina
1060,59,Michael Lang,FC Basel 1893,27,8,720,3,1,1,0,1,68.8,0.9,1,7.23,Switzerland
1062,64,Manuel Akanji,FC Basel 1893,22,6,540,0,1,2,0,0.2,81.1,2.5,1,7.2,Switzerland
1064,65,Dries Mertens,Napoli,31,5(1),481,2,3,3,0,2.8,69.6,0.3,2,7.2,Belgium
1066,25,Dries Mertens,Napoli,31,35(3),3013,18,6,4,0,3.4,75.5,0.1,7,7.21,Belgium
1068,98,Federico Fazio,Roma,31,10(1),922,0,1,2,0,0.5,85.5,2.9,0,7.07,Argentina
1070,18,Federico Fazio,Roma,31,32(2),2920,2,0,6,0,0.5,84.4,4.4,5,7.26,Argentina
1072,134,Toby Alderweireld,Tottenham,29,4,294,0,1,0,0,0.5,81.3,1.3,0,7.0,Belgium
1074,138,Victor Lindelof,Manchester United,23,5,450,0,0,0,0,-,90.3,1.2,0,6.98,Sweden
1076,154,Douglas Costa,Juventus,27,8(2),719,0,1,1,0,0.6,80.0,0.2,0,6.94,Brazil
1078,7,Douglas Costa,Juventus,27,18(13),1793,4,12,1,0,1.2,84.0,0.2,4,7.45,Brazil
1079,155,Taison,Shakhtar Donetsk,30,8,720,1,0,2,0,2.1,84.8,0.4,0,6.94,Brazil
1081,180,Alisson,Roma,25,12,1080,0,0,0,0,-,80.4,0.3,0,6.86,Brazil
1083,62,Alisson,Roma,25,37,3330,0,0,1,0,-,78.9,0.2,1,6.99,Brazil
1085,181,Paulo Dybala,Juventus,24,8,661,1,0,0,1,4.1,87.7,0.1,0,6.86,Argentina
1087,1,Paulo Dybala,Juventus,24,26(7),2358,22,5,0,0,3.5,87.3,0.2,8,7.77,Argentina
1088,198,Piotr Zielinski,Napoli,24,4(1),353,2,0,0,0,1,83.9,0.4,0,6.81,Poland
1090,155,Piotr Zielinski,Napoli,24,14(22),1659,4,2,3,0,1.1,88.0,0.2,0,6.75,Poland
1092,240,Sami Khedira,Juventus,31,8,633,0,3,0,0,0.6,86.7,1,0,6.73,Germany
1094,85,Sami Khedira,Juventus,31,24(2),1922,9,2,1,0,1.2,87.2,0.7,1,6.91,Germany
1096,241,Mikael Lustig,Celtic,31,6,463,0,0,0,0,0.3,86.1,1.8,1,6.72,Sweden
1098,275,Dedryck Boyata,Celtic,27,5,450,0,0,0,0,-,91.4,1.4,0,6.65,Belgium
1100,313,Uros Spajic,Anderlecht,25,5,363,0,0,1,0,0.2,84.4,1.2,0,6.55,Serbia
1102,326,Rodrigo Bentancur,Juventus,20,3(2),291,0,0,3,0,0.8,91.0,0.8,0,6.51,Uruguay
1104,262,Rodrigo Bentancur,Juventus,20,5(15),568,0,0,0,0,0.3,88.2,0.6,0,6.41,Uruguay
1106,338,Blaise Matuidi,Juventus,31,5(4),494,1,0,0,0,0.4,87.9,0.9,0,6.48,France
1108,129,Blaise Matuidi,Juventus,31,27(5),2355,3,1,3,0,0.8,91.6,1,0,6.8,France
1110,361,Renato Tapia,Feyenoord,22,4,330,0,0,0,0,-,85.9,-,0,6.43,Peru
1112,367,Diego Reyes,FC Porto,25,2(4),234,0,0,0,0,-,89.1,1,0,6.41,Mexico
1114,392,Lukasz Teodorczyk,Anderlecht,27,4(2),389,0,1,1,0,2,65.8,4,0,6.34,Poland
1116,446,Leander Dendoncker,Anderlecht,23,6,540,0,0,1,0,0.5,89.6,0.8,0,6.1,Belgium
1118,14,Ivan Perisic,Inter,29,37,3316,11,9,4,0,3.1,75.4,1.8,5,7.35,Croatia
1120,24,Adem Ljajic,Torino,26,23(4),2155,6,10,2,0,2.3,82.1,-,4,7.21,Serbia
1122,27,Marcelo Brozovic,Inter,25,21(10),1924,4,9,9,0,1.5,87.9,0.7,3,7.2,Croatia
1124,29,Lucas Torreira,Sampdoria,22,36,3185,4,1,6,0,0.9,87.2,0.6,3,7.17,Uruguay
1126,35,Milan Badelj,Fiorentina,29,27,2355,2,1,8,1,1.2,83.2,0.9,1,7.12,Croatia
1128,81,Cristian Ansaldi,Torino,31,20(5),1868,1,3,5,1,0.7,74.4,0.2,1,6.92,Argentina
1130,91,Miranda,Inter,33,31,2729,0,0,8,0,0.3,87.6,1.9,0,6.89,Brazil
